Year,Country,Gender,Age_Group,Cause_of_Death,Number_of_Deaths,Mortality_Rate_per_1000
2015,Pakistan,Female,30-44,Respiratory Disease,453417,0.23
2016,Germany,Male,30-44,Stroke,270753,4.7
2019,Nigeria,Female,15-29,Cancer,140387,11.17
2015,China,Male,45-59,Respiratory Disease,334246,10.41
2019,China,Male,60+,Natural Disasters,302955,8.66
2021,China,Male,45-59,Homicide,246578,3.32
2020,Pakistan,Male,60+,Infectious Diseases,142926,6.13
2020,UK,Female,0-14,Kidney Disease,454641,4.61
2015,Nigeria,Female,45-59,Natural Disasters,237119,7.45
2022,USA,Male,45-59,Suicide,496742,10.61
2018,Japan,Female,0-14,Stroke,88229,1.74
2023,Brazil,Female,0-14,Natural Disasters,13896,7.81
2019,India,Male,60+,Cancer,78656,11.23
2015,India,Female,45-59,Respiratory Disease,433132,8.66
2015,Germany,Male,15-29,Road Accidents,403451,1.7
2019,Russia,Male,60+,Cardiovascular Disease,341092,11.5
2023,China,Female,60+,Stroke,262243,2.43
2017,China,Female,0-14,Kidney Disease,76336,1.29
2019,Brazil,Male,60+,Suicide,353639,10.27
2024,Russia,Female,0-14,Road Accidents,377017,11.14
2021,Germany,Male,0-14,Kidney Disease,59135,4.32
2023,Pakistan,Male,30-44,Stroke,321892,8.67
2022,UK,Male,30-44,Stroke,425010,6.98
2019,Japan,Male,0-14,Road Accidents,434989,6.2
2019,Pakistan,Female,30-44,Infectious Diseases,79245,3.21
2016,Japan,Male,45-59,Cancer,452258,12.0
2022,Pakistan,Female,45-59,Kidney Disease,335139,8.69
2021,Japan,Male,30-44,Suicide,21749,5.61
2023,Pakistan,Female,15-29,Suicide,324894,5.03
2023,Russia,Male,15-29,Cancer,291965,8.78
2021,India,Male,15-29,Infectious Diseases,213171,7.15
2019,UK,Male,0-14,Cardiovascular Disease,212984,3.86
2019,Brazil,Female,60+,Homicide,35807,7.02
2015,China,Male,15-29,Respiratory Disease,468017,4.37
2019,USA,Female,30-44,Homicide,301161,6.12
2019,Japan,Male,45-59,Road Accidents,295688,2.07
2016,Nigeria,Male,30-44,Homicide,334014,1.19
2024,Russia,Female,30-44,Cancer,437819,3.09
2024,China,Female,15-29,Road Accidents,196559,1.71
2018,Pakistan,Male,45-59,Diabetes,178530,7.6
2024,China,Male,0-14,Suicide,452103,2.95
2020,UK,Female,30-44,Kidney Disease,473236,4.75
2020,USA,Male,0-14,Cardiovascular Disease,4275,3.62
2021,India,Female,45-59,Infectious Diseases,90597,8.86
2024,USA,Male,0-14,Stroke,169875,4.85
2015,Brazil,Male,45-59,Stroke,283970,10.54
2015,Russia,Male,0-14,Respiratory Disease,31861,6.53
2018,Germany,Female,45-59,Cancer,390992,11.45
2016,India,Female,30-44,Cardiovascular Disease,323936,7.56
2016,Brazil,Female,0-14,Homicide,272383,4.24
2025,Russia,Male,45-59,Respiratory Disease,495001,1.04
2024,Japan,Female,15-29,Natural Disasters,404655,10.96
2025,China,Female,0-14,Homicide,287822,3.46
2025,India,Female,15-29,Road Accidents,441963,0.9
2020,Pakistan,Female,30-44,Homicide,281245,6.73
2019,Germany,Female,15-29,Diabetes,67754,8.16
2018,India,Female,60+,Diabetes,218660,4.74
2016,Pakistan,Female,30-44,Cancer,224814,4.38
2024,Pakistan,Male,30-44,Cardiovascular Disease,470058,6.91
2021,Brazil,Female,30-44,Natural Disasters,422949,10.77
2025,Germany,Female,60+,Infectious Diseases,150818,4.01
2024,Russia,Male,0-14,Cardiovascular Disease,220317,6.01
2020,Nigeria,Male,0-14,Natural Disasters,399874,9.43
2015,UK,Female,45-59,Kidney Disease,21471,10.86
2018,India,Female,15-29,Infectious Diseases,102997,3.13
2019,India,Male,45-59,Suicide,356658,5.61
2015,UK,Male,0-14,Road Accidents,388445,5.9
2023,USA,Female,45-59,Kidney Disease,367432,3.61
2015,China,Male,15-29,Infectious Diseases,50807,4.97
2019,India,Female,60+,Respiratory Disease,350923,9.42
2025,USA,Male,0-14,Infectious Diseases,430716,5.75
2025,Germany,Female,15-29,Cancer,331790,7.34
2017,India,Female,45-59,Cardiovascular Disease,356201,1.69
2019,Brazil,Male,60+,Cancer,39749,10.69
2024,China,Male,30-44,Cancer,21474,9.07
2024,Brazil,Female,0-14,Kidney Disease,105665,3.65
2020,USA,Male,0-14,Homicide,6112,11.38
2022,Brazil,Male,45-59,Suicide,440461,7.02
2024,USA,Male,0-14,Natural Disasters,260693,10.45
2025,Brazil,Male,45-59,Suicide,461372,10.77
2021,Russia,Female,45-59,Natural Disasters,298979,4.54
2016,Japan,Female,15-29,Cardiovascular Disease,404072,9.15
2017,Pakistan,Female,45-59,Natural Disasters,486460,2.3
2020,China,Male,45-59,Natural Disasters,458158,11.57
2021,UK,Female,0-14,Cancer,359486,9.92
2022,Brazil,Female,0-14,Infectious Diseases,141821,1.97
2022,USA,Female,60+,Infectious Diseases,93085,3.95
2020,Germany,Male,30-44,Kidney Disease,299587,7.58
2017,Brazil,Female,30-44,Stroke,235153,2.24
2025,Japan,Female,15-29,Cardiovascular Disease,363798,2.63
2021,Japan,Male,0-14,Natural Disasters,47916,2.64
2019,Nigeria,Male,60+,Homicide,440146,1.78
2020,Brazil,Female,30-44,Road Accidents,431387,6.38
2023,USA,Female,60+,Stroke,291078,5.58
2019,China,Male,0-14,Road Accidents,127229,11.4
2024,Pakistan,Female,0-14,Road Accidents,474518,2.24
2020,UK,Female,0-14,Homicide,97529,0.97
2015,Nigeria,Male,30-44,Road Accidents,230598,9.12
2018,USA,Male,0-14,Diabetes,449905,4.01
2023,USA,Female,45-59,Infectious Diseases,238747,7.25
2024,UK,Male,45-59,Homicide,109775,8.95
2016,Pakistan,Female,30-44,Cardiovascular Disease,278999,2.24
2020,Brazil,Male,0-14,Diabetes,318252,4.83
2016,Germany,Female,45-59,Suicide,187818,11.28
2022,UK,Male,0-14,Kidney Disease,259691,2.25
2020,Pakistan,Female,60+,Cancer,95864,8.63
2016,UK,Female,60+,Respiratory Disease,135457,3.95
2020,India,Female,0-14,Infectious Diseases,456701,0.49
2022,Brazil,Male,30-44,Respiratory Disease,241972,10.61
2017,USA,Male,30-44,Cardiovascular Disease,256795,3.84
2021,USA,Male,45-59,Road Accidents,289043,1.53
2015,Japan,Male,15-29,Infectious Diseases,217905,11.39
2022,Nigeria,Male,0-14,Kidney Disease,12148,9.34
2021,UK,Male,0-14,Diabetes,449076,3.27
2016,Japan,Female,0-14,Diabetes,171664,6.24
2016,UK,Female,15-29,Kidney Disease,162708,11.92
2025,China,Male,0-14,Cardiovascular Disease,73851,2.41
2023,USA,Female,60+,Kidney Disease,208406,6.85
2020,China,Female,60+,Kidney Disease,171488,1.56
2017,India,Female,60+,Suicide,243447,1.58
2017,Japan,Female,30-44,Infectious Diseases,72522,0.89
2025,Brazil,Female,30-44,Road Accidents,321207,2.33
2019,Germany,Male,15-29,Cardiovascular Disease,29553,2.58
2020,Nigeria,Female,0-14,Road Accidents,346940,6.89
2025,UK,Female,45-59,Infectious Diseases,266599,7.06
2022,Brazil,Female,30-44,Infectious Diseases,385103,4.92
2017,Japan,Male,45-59,Respiratory Disease,414252,6.34
2022,Nigeria,Male,0-14,Respiratory Disease,306921,9.28
2019,Japan,Male,0-14,Natural Disasters,73809,9.03
2017,UK,Female,15-29,Road Accidents,177726,10.57
2022,UK,Male,15-29,Cardiovascular Disease,395580,10.31
2022,USA,Female,0-14,Road Accidents,383449,6.11
2025,Brazil,Female,15-29,Kidney Disease,461709,6.74
2015,China,Male,30-44,Suicide,82951,4.76
2020,UK,Female,15-29,Respiratory Disease,135420,1.45
2018,UK,Male,0-14,Infectious Diseases,481257,8.43
2016,USA,Female,15-29,Stroke,240421,0.74
2016,Germany,Male,0-14,Respiratory Disease,188583,2.61
2023,USA,Male,60+,Respiratory Disease,54683,0.82
2019,Japan,Male,30-44,Stroke,259182,10.59
2015,Pakistan,Female,15-29,Respiratory Disease,399824,3.8
2020,USA,Female,15-29,Kidney Disease,51826,0.63
2024,Germany,Male,15-29,Cardiovascular Disease,394415,11.11
2022,Russia,Male,0-14,Homicide,43498,2.96
2021,China,Male,45-59,Suicide,18190,2.69
2025,Japan,Male,0-14,Diabetes,66078,10.23
2021,Pakistan,Male,45-59,Diabetes,151813,8.97
2025,Nigeria,Female,30-44,Kidney Disease,410574,7.67
2025,Brazil,Female,45-59,Infectious Diseases,71116,3.59
2025,China,Female,30-44,Cardiovascular Disease,93998,4.76
2020,USA,Male,15-29,Cardiovascular Disease,63246,3.56
2024,Pakistan,Female,60+,Road Accidents,45019,4.57
2017,Russia,Male,15-29,Kidney Disease,372312,2.11
2017,Pakistan,Male,45-59,Diabetes,185213,4.92
2019,India,Female,0-14,Cardiovascular Disease,335359,3.52
2021,Brazil,Female,45-59,Respiratory Disease,362615,8.2
2020,Brazil,Female,15-29,Cardiovascular Disease,142667,6.63
2018,Brazil,Male,0-14,Kidney Disease,280701,2.78
2019,Pakistan,Female,60+,Diabetes,28954,1.4
2023,Russia,Female,60+,Natural Disasters,295512,8.5
2018,Nigeria,Male,0-14,Homicide,45161,11.3
2024,Brazil,Male,60+,Kidney Disease,366667,2.8
2021,India,Female,15-29,Suicide,487698,1.4
2015,USA,Male,0-14,Diabetes,169680,8.96
2021,Nigeria,Male,45-59,Infectious Diseases,79457,3.8
2015,India,Male,15-29,Diabetes,482097,2.31
2016,Pakistan,Male,60+,Respiratory Disease,319343,9.25
2019,Brazil,Male,15-29,Kidney Disease,225848,7.55
2023,USA,Male,0-14,Road Accidents,234067,4.49
2018,Germany,Male,45-59,Cardiovascular Disease,9862,9.52
2015,Germany,Female,15-29,Stroke,314563,11.81
2016,Russia,Female,15-29,Suicide,127813,6.23
2018,Japan,Male,45-59,Stroke,338655,6.62
2019,Germany,Female,30-44,Homicide,210306,7.87
2023,Germany,Female,0-14,Cardiovascular Disease,204319,5.47
2020,Pakistan,Female,30-44,Respiratory Disease,206734,10.3
2021,Brazil,Female,0-14,Suicide,497419,10.01
2018,Russia,Female,45-59,Diabetes,229853,10.55
2021,UK,Female,60+,Road Accidents,395366,6.06
2023,USA,Male,45-59,Road Accidents,155860,11.69
2021,UK,Male,30-44,Homicide,22805,0.92
2019,Pakistan,Female,45-59,Respiratory Disease,219141,2.17
2021,UK,Male,60+,Cardiovascular Disease,479111,11.71
2019,Germany,Male,30-44,Respiratory Disease,442358,0.65
2015,Russia,Male,60+,Cardiovascular Disease,499331,8.64
2018,UK,Male,45-59,Cancer,329314,4.48
2024,Russia,Male,15-29,Homicide,34139,8.08
2024,Japan,Female,15-29,Road Accidents,278877,3.75
2023,Nigeria,Male,15-29,Infectious Diseases,66832,10.9
2021,Brazil,Male,45-59,Road Accidents,169807,9.71
2019,Germany,Male,45-59,Infectious Diseases,32890,10.56
2015,Japan,Female,30-44,Suicide,83611,0.51
2025,China,Female,15-29,Homicide,32804,4.4
2025,USA,Female,60+,Kidney Disease,256043,4.31
2024,Russia,Male,45-59,Cancer,95466,9.31
2021,Russia,Male,0-14,Stroke,469412,1.69
2016,UK,Female,60+,Cancer,111476,3.25
2025,India,Male,60+,Natural Disasters,453914,1.29
2015,Russia,Male,0-14,Cancer,486467,5.67
2020,India,Male,0-14,Cancer,10721,4.43
2015,Germany,Female,30-44,Homicide,114210,4.3
2023,USA,Male,15-29,Natural Disasters,230120,9.3
2021,Japan,Female,60+,Diabetes,418151,10.04
2019,UK,Female,15-29,Infectious Diseases,144479,1.06
2020,China,Female,60+,Natural Disasters,79201,0.58
2025,Nigeria,Male,60+,Cardiovascular Disease,229325,11.48
2020,China,Male,45-59,Homicide,478230,6.39
2020,Pakistan,Male,60+,Cardiovascular Disease,52307,6.93
2016,Germany,Male,45-59,Kidney Disease,455818,2.12
2024,UK,Male,30-44,Natural Disasters,265035,0.19
2025,Germany,Female,0-14,Diabetes,403899,4.82
2018,Germany,Female,15-29,Respiratory Disease,354149,3.59
2025,Nigeria,Female,0-14,Cardiovascular Disease,66677,7.88
2016,Pakistan,Male,15-29,Homicide,387404,11.33
2015,Japan,Female,15-29,Cardiovascular Disease,52733,8.74
2025,Pakistan,Female,0-14,Cancer,68972,5.16
2023,Brazil,Male,30-44,Suicide,472848,9.72
2019,China,Male,30-44,Diabetes,327145,1.52
